,requisite_id,course_number,requisite_number,course_x,course_y,requisite_x,requisite_y
113,70,322,223,4.9726,0.5226,2.9836,0.3136
114,70,322,310,4.9726,0.5226,-4.0451,2.9389
115,71,322,221,4.9726,0.5226,-2.3511,3.2361
116,71,322,223,4.9726,0.5226,2.9836,0.3136
117,71,322,220,4.9726,0.5226,-1.2361,3.8042
118,72,323,322,5.9671,0.6272,4.9726,0.5226
119,73,340,221,-1.5451,4.7553,-2.3511,3.2361
120,73,340,223,-1.5451,4.7553,2.9836,0.3136
121,74,341,220,-3.3456,3.7157,-1.2361,3.8042
122,74,341,223,-3.3456,3.7157,2.9836,0.3136
123,74,341,226,-3.3456,3.7157,2.4271,1.7634
124,75,342,221,-3.7157,3.3457,-2.3511,3.2361
125,75,342,220,-3.7157,3.3457,-1.2361,3.8042
126,75,342,226,-3.7157,3.3457,2.4271,1.7634
127,76,342,223,-3.7157,3.3457,2.9836,0.3136
128,77,344,221,-2.9389,4.0451,-2.3511,3.2361
129,77,344,220,-2.9389,4.0451,-1.2361,3.8042
130,77,344,226,-2.9389,4.0451,2.4271,1.7634
131,78,344,223,-2.9389,4.0451,2.9836,0.3136
132,79,345,215,0.5226,4.9726,-1.2361,3.8042
133,80,360,101,-4.8907,1.0396,0.0,2.0
134,80,360,103,-4.8907,1.0396,-1.1756,1.618
135,80,360,105,-4.8907,1.0396,-1.618,1.1756
136,80,360,121,-4.8907,1.0396,1.618,1.1756
137,81,361,215,0.0,5.0,-1.2361,3.8042
138,82,400,300,2.1631,6.6574,2.0337,4.5677
139,83,400,316,2.1631,6.6574,1.5451,4.7553
140,84,401,316,2.4721,7.6084,1.5451,4.7553
141,85,401,400,2.4721,7.6084,2.1631,6.6574
142,86,402,301,4.6839,5.202,2.4404,5.4813
143,86,402,320,4.6839,5.202,4.0451,2.9389
144,87,403,301,3.5,6.0622,2.4404,5.4813
145,87,403,320,3.5,6.0622,4.0451,2.9389
146,88,403,402,3.5,6.0622,4.6839,5.202
147,89,404,300,5.353,5.9452,2.0337,4.5677
148,89,404,321,5.353,5.9452,4.8541,3.5267
149,90,404,420,5.353,5.9452,5.6631,4.1145
150,91,405,316,1.4554,6.847,1.5451,4.7553
151,95,412,320,6.3948,2.8472,4.0451,2.9389
152,96,412,322,6.3948,2.8472,4.9726,0.5226
153,97,418,321,5.202,4.6839,4.8541,3.5267
154,98,419,418,5.9452,5.353,5.202,4.6839
155,99,420,321,5.6631,4.1145,4.8541,3.5267
156,100,421,420,6.4721,4.7023,5.6631,4.1145
157,101,422,323,6.9617,0.7317,5.9671,0.6272
158,102,423,323,8.0,0.0,5.9671,0.6272
159,103,423,412,8.0,0.0,6.3948,2.8472
160,103,423,422,8.0,0.0,6.9617,0.7317
161,104,424,223,0.7317,6.9617,2.9836,0.3136
162,105,424,221,0.7317,6.9617,-2.3511,3.2361
163,106,424,227,0.7317,6.9617,3.2361,2.3511
164,107,424,317,0.7317,6.9617,0.0,4.0
165,108,425,424,0.8362,7.9562,0.7317,6.9617
166,109,426,321,6.0622,3.5,4.8541,3.5267
167,109,426,322,6.0622,3.5,4.9726,0.5226
168,110,427,426,6.9282,4.0,6.0622,3.5
169,111,428,215,4.1145,5.6631,-1.2361,3.8042
170,113,428,320,4.1145,5.6631,4.0451,2.9389
171,114,437,320,6.847,1.4554,4.0451,2.9389
172,114,437,322,6.847,1.4554,4.9726,0.5226
173,115,440,300,2.8472,6.3948,2.0337,4.5677
174,116,440,320,2.8472,6.3948,4.0451,2.9389
175,117,441,340,-2.1631,6.6574,-1.5451,4.7553
176,118,442,220,-1.4554,6.847,-1.2361,3.8042
177,118,442,223,-1.4554,6.847,2.9836,0.3136
178,118,442,226,-1.4554,6.847,2.4271,1.7634
179,119,443,220,6.6574,2.1631,-1.2361,3.8042
180,119,443,223,6.6574,2.1631,2.9836,0.3136
181,119,443,226,6.6574,2.1631,2.4271,1.7634
182,120,444,220,-5.6631,4.1145,-1.2361,3.8042
183,120,444,226,-5.6631,4.1145,2.4271,1.7634
184,122,450,301,3.2539,7.3084,2.4404,5.4813
185,123,450,400,3.2539,7.3084,2.1631,6.6574
186,124,462,361,0.0,7.0,0.0,5.0
187,124,462,345,0.0,7.0,0.5226,4.9726
188,125,404,321,5.353,5.9452,4.8541,3.5267
