id,course_number,type,description
77,344,pre,"Either (a) one of MATH 152, MATH 221 and one of MATH 220, MATH 226, CPSC 121 or (b) MATH 223"
79,345,pre,"A score of 68% or higher in one of MATH 215, MATH 255, MATH 256, MATH 258."
80,360,pre,"One of MATH 101, MATH 103, MATH 105, MATH 121, SCIE 001."
81,361,pre,"One of BIOL 301, MATH 215, MATH 255, MATH 256, MATH 258."
82,400,pre,"One of MATH 300, MATH 305"
83,400,pre,"One of MATH 256, MATH 257, MATH 316, MATH 358, MECH 358, PHYS 312."
84,401,pre,"Either (a) a score of 80% or higher in one of MATH 256, MATH 257, MATH 316, MATH 358, MECH 358, PHYS 312 or (b) MATH 400"
86,402,pre,"A score of 68% or higher in one of MATH 301, MATH 320."
87,403,pre,"A score of 68% or higher in one of MATH 301, MATH 320. "
88,403,pre,MATH 402 is recommended.
89,404,pre,MATH 300 and a score of 68% or higher in MATH 321
90,404,co,MATH 420.
91,405,pre,"One of MATH 256, MATH 257, MATH 316, MATH 358, MECH 358, PHYS 312."
92,406,pre,"One of MATH 307, CPSC 302"
93,406,pre,"Either (a) a score of 80% or higher in one of MATH 256, MATH 257, MATH 316, MATH 358, MECH 358, PHYS 312 or (b) MATH 400."
95,412,pre,A score of 68% or higher in MATH 320.
96,412,pre,A score of 68% or higher in MATH 322.
97,418,pre,A score of 68% or higher in MATH 321.
98,419,pre,MATH 418.
99,420,pre,A score of 68% or higher in MATH 321.
100,421,pre,MATH 420.
101,422,pre,MATH 323.
102,423,pre,MATH 323.
103,423,pre,"A score of 68% or higher in one of MATH 412, MATH 422."
104,424,pre,"Either (a) a score of 68% or higher in MATH 223 or (b) a score of 80% or higher in one of MATH 152, MATH 221"
106,424,pre,"Either (a) a score of 68% or higher in MATH 227 or (b) a score of 80% or higher in one of MATH 217, MATH 254, MATH 264, MATH 317."
108,425,pre,MATH 424.
109,426,pre,"A score of 68% or higher in all of MATH 321, MATH 322."
110,427,pre,MATH 426.
111,428,pre,"One of MATH 215, MATH 255, MATH 256, MATH 258"
112,428,pre,"One of PHYS 216, PHYS 306, ENPH 270."
113,428,co,MATH 320.
114,437,co,"One of MATH 320, MATH 322."
115,440,pre,MATH 300.
116,440,pre,A score of 68% or higher in MATH 320.
117,441,pre,MATH 340.
118,442,pre,"3rd year standing and one of MATH 220, MATH 223, MATH 226 or CPSC 221."
119,443,pre,"A score of 68% or higher in one of MATH 220, MATH 223, MATH 226, CPSC 121. And 6 credits of MATH numbered 300 or above."
120,444,pre,"One of MATH 220, MATH 226 and 6 credits of MATH courses numbered 300 or higher."
121,446,pre,27 credits of MATH.
122,450,pre,MATH 301.
123,450,pre,MATH 400.
124,462,pre,"One of MATH 361, MATH 345."
125,404,pre,A score of 68% or higher in MATH 321.
