course_number,r,theta,x,y
100,1.0,16,1.326794896677558e-06,0.9999999999991198
101,2.0,16,2.653589793355116e-06,1.9999999999982396
102,1.0,28,-0.9238786439595523,0.38268557751169385
103,2.0,28,-1.8477572879191047,0.7653711550233877
104,1.0,34,-0.980785830444625,-0.19508755675093026
105,2.0,34,-1.96157166088925,-0.3901751135018605
110,1.0,46,-0.19509406325481018,-0.9807845362171694
120,1.0,6,0.8314698887253485,0.555569819323419
121,2.0,6,1.662939777450697,1.111139638646838
152,2.0,10,1.1111418450258703,1.6629383031948315
180,1.0,22,-0.5555687161329251,0.8314706258518176
184,1.0,40,-0.7071091266468291,-0.707104435718486
190,1.0,52,0.3826794485159228,-0.9238811826655792
200,3.0,16,3.9803846900326745e-06,2.9999999999973594
210,4.0,21,-1.885580804125809,3.527688340983691
215,4.0,14,0.7803658426171541,3.923140215653325
217,3.5,12,1.3393952309986046,3.2335770309640366
220,4.0,24,-2.828421495626576,2.8284327538546012
221,3.0,22,-1.6667061483987755,2.4944118775554527
223,3.0,0,3.0,0.0
226,3.0,6,2.4944096661760455,1.6667094579702568
227,4.0,6,3.325879554901394,2.222279277293676
253,3.0,12,1.148053055141661,2.7716374551120313
254,2.5,12,0.9567108792847177,2.309697879260026
255,3.0,8,2.1213217508376787,2.1213189362806726
256,3.5,8,2.474875375977292,2.4748720923274514
257,4.0,9,2.5375754443131053,3.0920399196031
258,2.5,8,1.7677681256980657,1.767765780233894
264,4.0,11,1.885590165156946,3.5276833374132948
300,5.0,10,2.777854612564676,4.157345757987079
301,6.0,12,2.296106110283322,5.543274910224063
302,5.0,17,-0.49007868699035295,4.975924324239449
303,6.0,17,-0.5880944243884236,5.971109189087338
305,6.0,10,3.3334255350776107,4.9888149095844945
307,5.0,18,-0.9754442902619656,4.903927858012935
308,5.0,28,-4.619393219797762,1.9134278875584694
309,5.0,27,-4.409601044523477,2.3569935570844196
310,5.0,26,-4.157342072340095,2.777860128507367
312,5.0,24,-3.5355268695332196,3.5355409423182516
313,6.0,24,-4.242632243439864,4.242649130781902
316,5.0,13,1.4514285442796564,4.784700113993586
317,5.0,16,6.63397448338779e-06,4.999999999995599
318,6.0,16,7.960769380065349e-06,5.999999999994719
320,5.0,6,4.157349443626742,2.777849096617095
321,6.0,6,4.988819332352091,3.3334189159405136
322,5.0,0,5.0,0.0
323,6.0,0,6.0,0.0
335,5.0,32,-4.999999999982396,1.3267948966763902e-05
340,5.0,19,-1.4514158476431596,4.784703965472711
341,5.0,25,-3.865045690947786,3.1719744335170716
342,5.0,23,-3.17195904912325,3.8650583165956403
344,5.0,22,-2.7778435806646256,4.157353129259088
345,5.0,14,0.9754573032714426,4.903925269566656
358,4.25,10,2.3611764206799744,3.533743894289017
360,5.0,30,-4.903923975330568,0.9754638097736055
361,6.0,15,0.5881102692607522,5.971107628504953
400,7.0,12,2.678790461997209,6.467154061928073
401,8.0,12,3.0614748137110963,7.391033213632084
402,7.0,9,4.440757027547934,5.411069859305425
403,8.0,9,5.075150888626211,6.1840798392062
404,8.0,8,5.65685800223381,5.6568504967484605
405,7.0,13,2.031999961991519,6.698580159591021
406,8.0,13,2.3222856708474504,7.655520182389738
412,7.0,3,6.698582855632305,2.0319910743477587
414,7.0,32,-6.999999999975355,1.8575128553469462e-05
418,7.0,7,5.411075751274423,4.440749848164152
419,8.0,7,6.184086572885056,5.075142683616173
420,7.0,6,5.82028922107744,3.8889887352639327
421,8.0,6,6.651759109802788,4.444558554587352
422,7.0,0,7.0,0.0
423,8.0,0,8.0,0.0
424,7.0,4,6.467157616127896,2.6787818814078452
425,8.0,4,7.391037275574738,3.061465007323252
426,7.0,5,6.173450218602796,3.2997745981253157
427,8.0,5,7.055371678403196,3.771170969286075
428,7.0,10,3.888996457590546,5.82028406118191
437,7.0,1,6.966293143601636,0.6861194046292896
440,7.0,11,3.2997827890246554,6.173445840473266
441,7.0,19,-2.0319821867004233,6.698585551661796
442,7.0,21,-3.299766407220166,6.173454596721459
443,7.0,2,6.865497189311757,1.3656311154745873
444,7.0,23,-4.44074266877255,5.411081643233897
446,7.0,25,-5.4110639673269,4.440764206923901
450,8.0,11,3.771180330313892,7.0553666748265895
462,7.0,15,0.6861286474708775,6.966292233255778
